Source	Target	MI
ENSG00000185215	HSA-MIR-23B	0.173676
ENSG00000160862	HSA-MIR-200C	0.173657
ENSG00000101972	HSA-MIR-151B	0.173605
ENSG00000120093	HSA-MIR-10A	0.173507
ENSG00000138617	HSA-MIR-345	0.173369
ENSG00000165861	HSA-MIR-455	0.173226
ENSG00000161813	HSA-MIR-149	0.173219
ENSG00000169372	HSA-MIR-615	0.17304
ENSG00000171291	HSA-MIR-1270	0.17301
ENSG00000175467	HSA-MIR-1468	0.172986
ENSG00000076554	HSA-MIR-151B	0.172948
ENSG00000138768	HSA-MIR-431	0.172865
ENSG00000167543	HSA-MIR-337	0.172846
ENSG00000145107	HSA-MIR-338	0.172817
ENSG00000116750	HSA-MIR-625	0.172801
ENSG00000152778	HSA-MIR-153-2	0.172734
ENSG00000100154	HSA-MIR-374A	0.172637
ENSG00000124444	HSA-MIR-599	0.172551
ENSG00000096080	HSA-MIR-34A	0.172483
ENSG00000115368	HSA-MIR-338	0.172219
ENSG00000134376	HSA-MIR-381	0.172214
ENSG00000100321	HSA-MIR-1468	0.17219
ENSG00000117601	HSA-MIR-30C-1	0.172165
ENSG00000101146	HSA-MIR-20B	0.172134
ENSG00000172336	HSA-MIR-203B	0.172103
ENSG00000181467	HSA-MIR-335	0.171965
ENSG00000157895	HSA-MIR-324	0.171783
ENSG00000216490	HSA-MIR-103A-1	0.171735
ENSG00000109062	HSA-MIR-20B	0.17172
ENSG00000162069	HSA-MIR-664A	0.171689
ENSG00000140400	HSA-MIR-29C	0.171626
ENSG00000125843	HSA-MIR-31	0.171598
ENSG00000112761	HSA-MIR-193B	0.171584
ENSG00000185652	HSA-MIR-17	0.171577
ENSG00000188986	HSA-MIR-503	0.171534
ENSG00000106336	HSA-MIR-130A	0.171533
ENSG00000007216	HSA-MIR-1269A	0.171453
ENSG00000112851	HSA-MIR-214	0.171444
ENSG00000088298	HSA-MIR-664B	0.171433
ENSG00000179284	HSA-MIR-369	0.17125
ENSG00000162377	HSA-MIR-22	0.171181
ENSG00000268089	HSA-MIR-381	0.171157
ENSG00000158955	HSA-MIR-30E	0.171156
ENSG00000170382	HSA-MIR-185	0.171034
ENSG00000163510	HSA-MIR-107	0.170907
ENSG00000125611	HSA-MIR-3065	0.170867
ENSG00000121742	HSA-MIR-139	0.170861
ENSG00000123338	HSA-MIR-192	0.170851
ENSG00000106305	HSA-MIR-1306	0.170834
ENSG00000069188	HSA-MIR-125A	0.170801
ENSG00000068024	HSA-LET-7C	0.170784
ENSG00000182132	HSA-MIR-181B-1	0.170693
ENSG00000139620	HSA-MIR-409	0.170641
ENSG00000100403	HSA-MIR-484	0.170633
