Source	Target	MI
ENSG00000138413	HSA-MIR-30A	0.174943
ENSG00000115129	HSA-MIR-30A	0.17483
ENSG00000086848	HSA-MIR-135A-1	0.174716
ENSG00000142484	HSA-MIR-532	0.174571
ENSG00000111424	HSA-MIR-190A	0.174449
ENSG00000135643	HSA-MIR-190A	0.174422
ENSG00000137270	HSA-MIR-338	0.174416
ENSG00000196218	HSA-MIR-153-2	0.17421
ENSG00000133477	HSA-MIR-708	0.174173
ENSG00000100129	HSA-MIR-483	0.174173
ENSG00000188706	HSA-MIR-4772	0.17417
ENSG00000113249	HSA-MIR-452	0.174114
ENSG00000170579	HSA-MIR-708	0.173981
ENSG00000117477	HSA-MIR-192	0.173806
ENSG00000169047	HSA-MIR-181C	0.173758
ENSG00000164120	HSA-MIR-708	0.173735
ENSG00000142484	HSA-MIR-500A	0.173657
ENSG00000139344	HSA-MIR-660	0.173626
ENSG00000196659	HSA-MIR-30A	0.173517
ENSG00000147676	HSA-MIR-505	0.173483
ENSG00000168724	HSA-MIR-452	0.17347
ENSG00000106025	HSA-MIR-452	0.173263
ENSG00000164116	HSA-MIR-874	0.173171
ENSG00000163586	HSA-MIR-30A	0.173105
ENSG00000006451	HSA-LET-7A-2	0.173012
ENSG00000171451	HSA-MIR-150	0.172967
ENSG00000183578	HSA-MIR-1-2	0.172946
ENSG00000104880	HSA-MIR-362	0.172824
ENSG00000204385	HSA-MIR-190A	0.172803
ENSG00000116237	HSA-MIR-335	0.172794
ENSG00000164251	HSA-MIR-1-2	0.172761
ENSG00000198523	HSA-MIR-1-2	0.172623
ENSG00000112234	HSA-MIR-203B	0.172529
ENSG00000243649	HSA-MIR-194-2	0.172513
ENSG00000174567	HSA-MIR-708	0.172458
ENSG00000161996	HSA-MIR-21	0.17244
ENSG00000105559	HSA-MIR-452	0.172271
ENSG00000184434	HSA-MIR-190A	0.172148
ENSG00000128185	HSA-MIR-1251	0.172146
ENSG00000255823	HSA-MIR-424	0.172027
ENSG00000166126	HSA-MIR-375	0.172023
